Date,number of theaters
"Jan 10, 2020",1
"Jan 15, 2020",1020
"Jan 17, 2020",4155
"Jan 17, 2020",3775
"Jan 17, 2020
            ",7
"Jan 17, 2020",13
"Jan 17, 2020",23
"Jan 19, 2020",651
"Jan 20, 2020",143
"Jan 23, 2020",534
"Jan 24, 2020",2571
"Jan 24, 2020",2675
"Jan 24, 2020",617
"Jan 24, 2020
            ",102
"Jan 24, 2020",81
"Jan 24, 2020",9
"Jan 24, 2020",22
"Jan 24, 2020",22
"Jan 29, 2020",35
"Jan 31, 2020
            ",3049
"Jan 31, 2020
            ",3007
"Jan 31, 2020",536
"Jan 31, 2020",53
"Jan 31, 2020",25
"Jan 31, 2020",45
"Jan 31, 2020",21
"Jan 31, 2020",2
"Jan 31, 2020",2
"Jan 31, 2020",2
"Feb 7, 2020",4236
"Feb 7, 2020",29
"Feb 7, 2020",395
"Feb 7, 2020",23
"Feb 7, 2020",2
"Feb 7, 2020",2
"Feb 7, 2020",2
"Feb 7, 2020",6
"Feb 7, 2020",6
"Feb 9, 2020",650
"Feb 11, 2020",9
"Feb 12, 2020",330
"Feb 12, 2020",8
"Feb 12, 2020",71
"Feb 14, 2020",4198
"Feb 14, 2020",2784
"Feb 14, 2020",2516
"Feb 14, 2020",2311
"Feb 14, 2020",85
"Feb 14, 2020",68
"Feb 14, 2020",11
"Feb 14, 2020",10
"Feb 14, 2020",9
"Feb 14, 2020",35
"Feb 14, 2020",22
"Feb 14, 2020",19
"Feb 14, 2020",4
"Feb 14, 2020",2
"Feb 14, 2020",23
"Feb 14, 2020",2
"Feb 14, 2020",2
"Feb 18, 2020",807
"Feb 19, 2020",605
"Feb 20, 2020",472
"Feb 21, 2020",3914
"Feb 21, 2020",2151
"Feb 21, 2020 ",1900
"Feb 21, 2020",350
"Feb 21, 2020",84
"Feb 21, 2020",30
"Feb 21, 2020",25
"Feb 21, 2020",10
"Feb 21, 2020 ",1732
"Feb 21, 2020",152
"Feb 21, 2020",29
"Feb 21, 2020",373
"Feb 21, 2020",2
"Feb 21, 2020",3
"Feb 21, 2020",4
"Feb 21, 2020",5
"Feb 21, 2020",5
"Feb 21, 2020",5
"Feb 21, 2020",5
"Feb 24, 2020",5
"Feb 26, 2020",1231
"Feb 28, 2020",3636
"Feb 21, 2020 ",1900
"Feb 28, 2020",19
"Feb 28, 2020",109
"Feb 28, 2020",596
"Feb 28, 2020",165
"Feb 28, 2020",8
"Feb 28, 2020",2
"Feb 28, 2020",5
"Feb 28, 2020",23
"Feb 28, 2020",4
"Feb 28, 2020",4
"Feb 28, 2020",4
"Mar 6, 2020",4310
"Feb 21, 2020 ",1732
"Mar 6, 2020",4310
"Mar 6, 2020",2718
"Mar 6, 2020",265
"Mar 6, 2020",162
"Mar 6, 2020",80
"Mar 6, 2020",19
"Mar 6, 2020",132
"Feb 21, 2020 ",1732
"Mar 6, 2020",15
"Mar 6, 2020",25
"Mar 6, 2020",39
"Mar 6, 2020",6
"Mar 6, 2020",3
"Mar 6, 2020",2
"Mar 6, 2020",6
"Mar 6, 2020",1
"Mar 6, 2020",5
"Mar 6, 2020",1
"Mar 6, 2020",3
"Mar 6, 2020",42
"Mar 6, 2020",42
"Mar 6, 2020",42
"Mar 6, 2020",42
"Mar 9, 2020",519
"Mar 13, 2020",3250
"Mar 13, 2020",3028
"Mar 13, 2020",2861
"Mar 13, 2020",20
"Mar 13, 2020",18
"Mar 13, 2020",9
"Mar 13, 2020",4
"Mar 13, 2020",3
"Mar 13, 2020",2
"Mar 13, 2020",1
"Mar 13, 2020",1
"Mar 13, 2020",1
"Mar 13, 2020",1
"Mar 13, 2020",1
"Mar 15, 2020",278
"Mar 17, 2020",278
"Mar 20, 2020",33
"Mar 20, 2020",33
"Mar 20, 2020",33
"Mar 20, 2020",33
"Mar 20, 2020",33
"Mar 27, 2020",2
"Mar 27, 2020",1
"Apr 3, 2020",1
"Apr 3, 2020",1
"Apr 10, 2020",1
"Apr 24, 2020",5
"May 1, 2020",99
"May 1, 2020",99
"May 8, 2020",9
"May 8, 2020",9
"May 22, 2020",4
"May 22, 2020",10
"May 22, 2020",10
"May 29, 2020",10
"May 29, 2020",10
"Jun 5, 2020",50
